time,cpu_usage,memory_usage,gpu_usage,gpu_memory_usage
2024-01-17 17:18:51,5.0,35.4,0.08,0.3076171875
2024-01-17 17:18:56,7.9,37.7,0.08,0.3076171875
2024-01-17 17:19:01,8.2,39.4,0.08,0.3076171875
2024-01-17 17:19:06,6.5,39.4,0.08,0.3076171875
2024-01-17 17:19:11,42.7,42.0,0.08,0.3076171875
2024-01-17 17:19:16,50.8,42.3,0.08,0.3076171875
2024-01-17 17:19:21,50.8,41.8,0.08,0.3076171875
2024-01-17 17:19:26,51.0,42.1,0.08,0.3076171875
2024-01-17 17:19:31,50.8,42.1,0.08,0.3076171875
2024-01-17 17:19:36,50.9,42.6,0.08,0.3076171875
2024-01-17 17:19:41,50.7,42.6,0.08,0.3076171875
2024-01-17 17:19:46,50.8,42.1,0.08,0.3076171875
2024-01-17 17:19:51,50.6,42.3,0.08,0.3076171875
2024-01-17 17:19:56,50.6,41.9,0.08,0.3076171875
2024-01-17 17:20:01,51.4,41.9,0.08,0.3076171875
2024-01-17 17:20:06,50.7,42.1,0.08,0.3076171875
2024-01-17 17:20:11,51.5,42.5,0.08,0.3076171875
2024-01-17 17:20:16,12.4,42.5,0.08,0.3076171875
2024-01-17 17:20:21,5.5,42.5,0.08,0.3076171875
2024-01-17 17:20:26,2.5,42.9,0.08,0.3076171875
2024-01-17 17:20:31,4.7,42.7,0.08,0.3076171875
2024-01-17 17:20:36,0.3,42.7,0.08,0.3076171875
2024-01-17 17:20:41,0.3,42.8,0.08,0.3076171875
2024-01-17 17:20:46,0.2,42.8,0.08,0.3076171875
2024-01-17 17:20:51,0.4,42.8,0.08,0.3076171875
2024-01-17 17:20:56,0.5,42.8,0.08,0.3076171875
2024-01-17 17:21:01,0.5,42.8,0.08,0.3076171875
2024-01-17 17:21:06,0.6,42.8,0.08,0.3076171875
2024-01-17 17:21:11,4.8,65.6,0.08,0.3076171875
2024-01-17 17:21:16,7.1,72.7,0.08,0.3076171875
2024-01-17 17:21:21,18.7,68.3,0.08,0.3076171875
2024-01-17 17:21:26,51.1,68.3,0.08,0.3076171875
2024-01-17 17:21:31,50.9,68.3,0.08,0.3076171875
2024-01-17 17:21:36,50.6,69.0,0.08,0.3076171875
2024-01-17 17:21:41,50.7,69.0,0.08,0.3076171875
2024-01-17 17:21:46,51.6,69.0,0.08,0.3076171875
2024-01-17 17:21:51,51.4,69.0,0.08,0.3076171875
2024-01-17 17:21:56,51.9,69.0,0.08,0.3076171875
2024-01-17 17:22:01,51.7,69.1,0.08,0.3076171875
2024-01-17 17:22:06,51.6,69.1,0.08,0.3076171875
2024-01-17 17:22:11,33.2,69.0,0.08,0.3076171875
2024-01-17 17:22:16,0.9,69.1,0.08,0.3076171875
2024-01-17 17:22:21,0.7,69.1,0.08,0.3076171875
