time,cpu_usage,memory_usage,gpu_usage,gpu_memory_usage
2024-01-18 17:47:35,5.8,61.1,0.14,0.935546875
2024-01-18 17:47:40,8.9,62.7,0.14,0.935546875
2024-01-18 17:47:45,6.4,63.0,0.14,0.935546875
2024-01-18 17:47:50,6.3,63.0,0.14,0.935546875
2024-01-18 17:47:55,6.1,74.5,0.14,0.935546875
2024-01-18 17:48:00,6.2,80.1,0.14,0.935546875
2024-01-18 17:48:05,6.3,80.1,0.14,0.935546875
2024-01-18 17:48:10,6.8,80.2,0.14,0.935546875
2024-01-18 17:48:15,6.7,80.2,0.14,0.935546875
2024-01-18 17:48:20,6.4,80.3,0.14,0.935546875
2024-01-18 17:48:25,6.7,80.3,0.14,0.935546875
2024-01-18 17:48:30,6.5,80.3,0.14,0.935546875
2024-01-18 17:48:35,6.6,80.3,0.14,0.935546875
2024-01-18 17:48:40,6.8,80.4,0.14,0.935546875
2024-01-18 17:48:45,6.8,80.4,0.14,0.935546875
2024-01-18 17:48:50,6.8,80.4,0.14,0.935546875
2024-01-18 17:48:55,6.8,80.4,0.14,0.935546875
2024-01-18 17:49:00,6.8,80.5,0.14,0.935546875
2024-01-18 17:49:05,6.8,80.5,0.14,0.935546875
2024-01-18 17:49:10,6.8,80.5,0.14,0.935546875
2024-01-18 17:49:15,6.8,80.5,0.14,0.935546875
2024-01-18 17:49:20,7.1,80.6,0.14,0.935546875
2024-01-18 17:49:25,6.8,80.6,0.14,0.935546875
2024-01-18 17:49:30,6.8,80.6,0.14,0.935546875
2024-01-18 17:49:35,6.7,80.7,0.14,0.935546875
2024-01-18 17:49:40,5.8,80.6,0.14,0.935546875
2024-01-18 17:49:45,6.7,80.7,0.14,0.935546875
2024-01-18 17:49:50,6.7,80.7,0.14,0.935546875
2024-01-18 17:49:55,6.7,80.7,0.14,0.935546875
2024-01-18 17:50:00,6.5,80.7,0.14,0.935546875
2024-01-18 17:50:05,6.7,80.7,0.14,0.935546875
2024-01-18 17:50:10,6.6,80.7,0.14,0.935546875
2024-01-18 17:50:15,6.6,80.8,0.14,0.935546875
2024-01-18 17:50:20,6.4,80.8,0.14,0.935546875
2024-01-18 17:50:25,6.8,80.8,0.14,0.935546875
2024-01-18 17:50:30,6.5,80.8,0.14,0.935546875
2024-01-18 17:50:35,6.9,80.9,0.14,0.935546875
2024-01-18 17:50:40,7.0,80.9,0.14,0.935546875
2024-01-18 17:50:45,6.7,80.9,0.14,0.935546875
2024-01-18 17:50:50,6.5,80.9,0.14,0.935546875
2024-01-18 17:50:55,6.6,81.0,0.14,0.935546875
2024-01-18 17:51:00,6.6,81.0,0.14,0.935546875
2024-01-18 17:51:05,6.7,81.0,0.14,0.935546875
2024-01-18 17:51:10,6.6,81.0,0.14,0.935546875
2024-01-18 17:51:15,6.7,81.0,0.14,0.935546875
2024-01-18 17:51:20,6.5,81.0,0.14,0.935546875
2024-01-18 17:51:25,8.3,81.5,0.14,0.935546875
2024-01-18 17:51:30,9.8,81.5,0.14,0.935546875
2024-01-18 17:51:35,6.7,81.5,0.14,0.935546875
2024-01-18 17:51:40,6.5,81.5,0.14,0.935546875
2024-01-18 17:51:45,6.8,81.6,0.14,0.935546875
2024-01-18 17:51:50,6.5,81.6,0.14,0.935546875
2024-01-18 17:51:55,6.8,81.6,0.14,0.935546875
2024-01-18 17:52:00,6.7,81.6,0.14,0.935546875
2024-01-18 17:52:05,10.4,82.2,0.14,0.935546875
2024-01-18 17:52:10,6.5,82.2,0.14,0.935546875
2024-01-18 17:52:15,6.6,82.2,0.14,0.935546875
2024-01-18 17:52:20,6.5,82.3,0.14,0.935546875
2024-01-18 17:52:25,6.7,82.3,0.14,0.935546875
2024-01-18 17:52:30,8.1,81.7,0.14,0.935546875
2024-01-18 17:52:35,6.6,81.8,0.14,0.935546875
2024-01-18 17:52:40,6.6,81.8,0.14,0.935546875
2024-01-18 17:52:45,6.8,81.8,0.14,0.935546875
2024-01-18 17:52:50,6.7,81.8,0.14,0.935546875
2024-01-18 17:52:55,6.7,81.8,0.14,0.935546875
2024-01-18 17:53:00,6.9,81.8,0.14,0.935546875
2024-01-18 17:53:05,6.9,81.8,0.14,0.935546875
2024-01-18 17:53:10,6.9,81.9,0.14,0.935546875
2024-01-18 17:53:15,6.6,81.9,0.14,0.935546875
2024-01-18 17:53:20,6.5,81.9,0.14,0.935546875
2024-01-18 17:53:25,6.7,81.9,0.14,0.935546875
2024-01-18 17:53:30,6.8,81.9,0.14,0.935546875
2024-01-18 17:53:35,6.7,81.9,0.14,0.935546875
2024-01-18 17:53:40,6.6,82.0,0.14,0.935546875
2024-01-18 17:53:45,6.7,82.0,0.14,0.935546875
2024-01-18 17:53:50,6.5,82.0,0.14,0.935546875
2024-01-18 17:53:55,6.7,82.0,0.14,0.935546875
2024-01-18 17:54:00,6.9,82.1,0.14,0.935546875
2024-01-18 17:54:05,6.8,82.1,0.14,0.935546875
2024-01-18 17:54:10,6.7,82.1,0.14,0.935546875
2024-01-18 17:54:15,6.5,82.1,0.14,0.935546875
2024-01-18 17:54:20,6.7,82.2,0.14,0.935546875
2024-01-18 17:54:25,6.5,82.1,0.14,0.935546875
2024-01-18 17:54:30,6.6,82.2,0.14,0.935546875
2024-01-18 17:54:35,6.7,82.2,0.14,0.935546875
2024-01-18 17:54:40,6.5,82.2,0.14,0.935546875
2024-01-18 17:54:45,6.6,82.2,0.14,0.935546875
2024-01-18 17:54:50,8.3,82.3,0.14,0.935546875
2024-01-18 17:54:55,0.8,82.3,0.14,0.935546875
2024-01-18 17:55:00,9.6,82.1,0.14,0.935546875
2024-01-18 17:55:05,0.3,82.1,0.14,0.935546875
2024-01-18 17:55:10,1.0,82.2,0.14,0.935546875
2024-01-18 17:55:15,2.0,79.2,0.14,0.935546875
2024-01-18 17:55:20,32.8,74.9,0.14,0.935546875
2024-01-18 17:55:25,50.9,75.1,0.14,0.935546875
2024-01-18 17:55:30,51.4,75.0,0.14,0.935546875
2024-01-18 17:55:35,51.4,75.0,0.14,0.935546875
2024-01-18 17:55:40,51.0,75.0,0.14,0.935546875
2024-01-18 17:55:45,50.7,75.0,0.14,0.935546875
2024-01-18 17:55:50,50.8,75.0,0.14,0.935546875
2024-01-18 17:55:55,50.9,75.0,0.14,0.935546875
2024-01-18 17:56:00,50.9,75.0,0.14,0.935546875
2024-01-18 17:56:05,51.0,75.0,0.14,0.935546875
2024-01-18 17:56:10,50.4,74.8,0.14,0.935546875
2024-01-18 17:56:15,50.7,74.9,0.14,0.935546875
2024-01-18 17:56:20,35.1,74.9,0.14,0.935546875
2024-01-18 17:56:25,0.3,74.9,0.14,0.935546875
2024-01-18 17:56:30,0.4,74.9,0.14,0.935546875
2024-01-18 17:56:35,0.2,75.0,0.14,0.935546875
