time,cpu_usage,memory_usage
2024-01-11 09:14:22,0.0,11.8
2024-01-11 09:14:27,5.5,17.0
2024-01-11 09:14:32,1.3,17.2
2024-01-11 09:14:37,5.2,50.6
2024-01-11 09:14:42,21.7,43.5
2024-01-11 09:14:47,50.3,43.5
2024-01-11 09:14:52,51.2,43.5
2024-01-11 09:14:57,50.7,43.5
2024-01-11 09:15:02,51.0,43.5
2024-01-11 09:15:07,51.1,43.5
2024-01-11 09:15:12,51.0,43.5
2024-01-11 09:15:17,50.8,43.5
2024-01-11 09:15:22,51.1,43.5
2024-01-11 09:15:27,50.9,43.5
2024-01-11 09:15:32,51.2,43.5
2024-01-11 09:15:37,50.9,43.5
2024-01-11 09:15:42,50.9,43.6
2024-01-11 09:15:47,51.0,43.5
2024-01-11 09:15:52,51.1,43.5
2024-01-11 09:15:57,50.9,43.5
2024-01-11 09:16:02,51.0,43.5
2024-01-11 09:16:07,50.9,43.5
2024-01-11 09:16:12,51.0,43.5
2024-01-11 09:16:17,51.2,43.5
2024-01-11 09:16:22,51.0,43.5
2024-01-11 09:16:27,50.9,43.6
2024-01-11 09:16:32,51.2,43.5
2024-01-11 09:16:37,51.6,43.4
2024-01-11 09:16:42,51.4,43.4
2024-01-11 09:16:47,52.1,43.4
2024-01-11 09:16:52,51.5,43.4
2024-01-11 09:16:57,51.7,43.4
2024-01-11 09:17:02,51.8,43.4
2024-01-11 09:17:07,51.7,43.4
2024-01-11 09:17:12,51.2,43.4
2024-01-11 09:17:17,50.9,43.4
2024-01-11 09:17:22,50.9,43.4
2024-01-11 09:17:27,52.4,43.4
2024-01-11 09:17:32,51.2,43.4
2024-01-11 09:17:37,51.1,43.4
2024-01-11 09:17:42,51.4,43.4
2024-01-11 09:17:47,51.0,43.4
2024-01-11 09:17:52,51.0,43.4
2024-01-11 09:17:57,50.9,43.4
2024-01-11 09:18:02,50.8,43.4
2024-01-11 09:18:07,50.9,43.4
2024-01-11 09:18:12,51.0,43.4
2024-01-11 09:18:17,51.1,43.4
2024-01-11 09:18:22,51.2,43.4
2024-01-11 09:18:27,51.0,43.4
2024-01-11 09:18:32,50.9,43.4
2024-01-11 09:18:37,51.1,43.4
2024-01-11 09:18:42,50.8,43.4
2024-01-11 09:18:47,50.8,43.4
2024-01-11 09:18:52,51.0,43.4
2024-01-11 09:18:57,51.7,43.4
2024-01-11 09:19:02,51.6,43.4
2024-01-11 09:19:07,51.4,43.4
2024-01-11 09:19:12,51.3,43.4
2024-01-11 09:19:17,51.5,43.4
2024-01-11 09:19:22,51.3,43.4
2024-01-11 09:19:27,51.4,43.4
2024-01-11 09:19:32,52.3,43.4
2024-01-11 09:19:37,52.3,43.4
2024-01-11 09:19:42,51.5,43.4
2024-01-11 09:19:47,52.3,43.4
2024-01-11 09:19:52,51.3,43.4
2024-01-11 09:19:57,51.4,43.4
2024-01-11 09:20:02,51.4,43.4
2024-01-11 09:20:07,51.1,43.4
2024-01-11 09:20:12,51.2,43.4
2024-01-11 09:20:17,51.8,43.4
2024-01-11 09:20:22,52.3,43.4
2024-01-11 09:20:27,52.6,43.4
2024-01-11 09:20:32,52.3,43.4
2024-01-11 09:20:37,51.3,43.4
2024-01-11 09:20:42,51.2,43.4
2024-01-11 09:20:47,51.2,43.4
2024-01-11 09:20:52,51.1,43.4
2024-01-11 09:20:57,51.1,43.4
2024-01-11 09:21:02,51.2,43.5
2024-01-11 09:21:07,51.2,43.5
2024-01-11 09:21:12,51.1,43.4
2024-01-11 09:21:17,51.1,43.4
2024-01-11 09:21:22,51.3,43.4
2024-01-11 09:21:27,51.1,43.5
2024-01-11 09:21:32,51.3,43.5
2024-01-11 09:21:37,51.1,43.5
2024-01-11 09:21:42,51.0,43.5
2024-01-11 09:21:47,51.2,43.5
2024-01-11 09:21:52,51.2,43.5
2024-01-11 09:21:57,51.4,43.5
2024-01-11 09:22:02,51.2,43.5
2024-01-11 09:22:07,51.2,43.5
2024-01-11 09:22:12,50.9,43.5
2024-01-11 09:22:17,51.4,43.5
2024-01-11 09:22:22,51.2,43.5
2024-01-11 09:22:27,51.1,43.5
2024-01-11 09:22:32,51.2,43.5
2024-01-11 09:22:37,51.0,43.5
2024-01-11 09:22:42,51.2,43.4
2024-01-11 09:22:47,50.8,43.4
2024-01-11 09:22:52,50.9,43.5
2024-01-11 09:22:57,50.9,43.4
2024-01-11 09:23:02,50.9,43.4
2024-01-11 09:23:07,50.9,43.4
2024-01-11 09:23:12,51.1,43.4
2024-01-11 09:23:17,51.0,43.4
2024-01-11 09:23:22,50.9,43.4
2024-01-11 09:23:27,51.1,43.4
2024-01-11 09:23:32,51.1,43.4
2024-01-11 09:23:37,51.4,43.6
2024-01-11 09:23:42,50.9,43.7
2024-01-11 09:23:47,51.0,43.4
2024-01-11 09:23:52,51.2,43.4
2024-01-11 09:23:57,51.3,43.4
2024-01-11 09:24:02,51.3,43.4
2024-01-11 09:24:07,51.1,43.5
2024-01-11 09:24:12,51.1,43.4
2024-01-11 09:24:17,51.1,43.5
2024-01-11 09:24:22,51.3,43.5
2024-01-11 09:24:27,51.0,43.4
2024-01-11 09:24:32,51.1,43.5
2024-01-11 09:24:37,50.9,43.5
2024-01-11 09:24:42,51.1,43.5
2024-01-11 09:24:47,51.1,43.5
2024-01-11 09:24:52,51.1,43.5
2024-01-11 09:24:57,51.2,43.5
2024-01-11 09:25:02,51.1,43.5
2024-01-11 09:25:07,51.2,43.5
2024-01-11 09:25:12,50.8,43.5
2024-01-11 09:25:17,51.4,43.5
2024-01-11 09:25:22,51.0,43.5
2024-01-11 09:25:27,51.3,43.6
2024-01-11 09:25:32,51.1,43.5
2024-01-11 09:25:37,51.1,43.5
2024-01-11 09:25:42,51.2,43.5
2024-01-11 09:25:47,51.0,43.5
2024-01-11 09:25:52,51.9,43.5
2024-01-11 09:25:57,50.9,43.5
2024-01-11 09:26:02,51.1,43.6
2024-01-11 09:26:07,51.0,43.5
2024-01-11 09:26:12,50.9,43.5
2024-01-11 09:26:17,51.3,43.5
2024-01-11 09:26:22,51.2,43.5
2024-01-11 09:26:27,51.2,43.5
2024-01-11 09:26:32,51.2,43.5
2024-01-11 09:26:37,51.1,43.5
2024-01-11 09:26:42,51.1,43.5
2024-01-11 09:26:47,51.1,43.5
2024-01-11 09:26:52,51.2,43.5
2024-01-11 09:26:57,51.4,43.5
2024-01-11 09:27:02,51.4,43.5
2024-01-11 09:27:07,51.2,43.5
2024-01-11 09:27:12,51.2,43.6
2024-01-11 09:27:17,51.9,43.6
2024-01-11 09:27:22,51.2,43.6
2024-01-11 09:27:27,51.3,43.5
2024-01-11 09:27:32,51.1,43.5
2024-01-11 09:27:37,51.2,43.5
2024-01-11 09:27:42,51.0,43.5
2024-01-11 09:27:47,51.0,43.5
2024-01-11 09:27:52,51.2,43.5
2024-01-11 09:27:57,51.1,43.5
2024-01-11 09:28:02,51.3,43.5
2024-01-11 09:28:07,51.2,43.6
2024-01-11 09:28:12,51.0,43.5
2024-01-11 09:28:17,51.1,43.5
2024-01-11 09:28:22,51.3,43.6
2024-01-11 09:28:27,51.0,43.8
2024-01-11 09:28:32,51.1,43.7
2024-01-11 09:28:37,51.3,43.5
2024-01-11 09:28:42,51.0,43.5
2024-01-11 09:28:47,51.3,43.5
2024-01-11 09:28:52,51.1,43.5
2024-01-11 09:28:57,51.1,43.5
2024-01-11 09:29:02,51.4,43.5
2024-01-11 09:29:07,51.3,43.5
2024-01-11 09:29:12,51.2,43.5
2024-01-11 09:29:17,51.2,43.5
2024-01-11 09:29:22,51.2,43.5
2024-01-11 09:29:27,51.2,43.5
2024-01-11 09:29:32,51.3,43.5
2024-01-11 09:29:37,51.2,43.5
2024-01-11 09:29:42,51.2,43.5
2024-01-11 09:29:47,51.2,43.5
2024-01-11 09:29:52,51.2,43.5
2024-01-11 09:29:57,51.1,43.5
2024-01-11 09:30:02,51.2,43.5
2024-01-11 09:30:07,51.1,43.5
2024-01-11 09:30:12,51.0,43.5
2024-01-11 09:30:17,51.2,43.5
2024-01-11 09:30:22,51.4,43.5
2024-01-11 09:30:27,52.1,43.6
2024-01-11 09:30:32,51.6,43.5
2024-01-11 09:30:37,51.9,43.5
2024-01-11 09:30:42,51.8,43.5
2024-01-11 09:30:47,51.9,43.5
2024-01-11 09:30:52,51.8,43.5
2024-01-11 09:30:57,51.4,43.5
2024-01-11 09:31:02,51.4,43.5
2024-01-11 09:31:07,51.2,43.5
2024-01-11 09:31:12,51.4,43.6
2024-01-11 09:31:17,51.2,43.5
2024-01-11 09:31:22,51.1,43.5
2024-01-11 09:31:27,51.3,43.5
2024-01-11 09:31:32,51.2,43.5
2024-01-11 09:31:37,51.0,43.5
2024-01-11 09:31:42,50.8,43.5
2024-01-11 09:31:47,51.1,43.5
