time,cpu_usage,memory_usage
2024-01-14 17:30:42,14.3,3.5
2024-01-14 17:30:47,35.9,3.7
2024-01-14 17:30:52,49.4,3.7
2024-01-14 17:30:57,49.5,3.7
2024-01-14 17:31:02,49.3,3.7
2024-01-14 17:31:07,49.3,3.7
2024-01-14 17:31:12,49.4,3.7
2024-01-14 17:31:17,49.4,3.7
2024-01-14 17:31:22,49.3,3.7
2024-01-14 17:31:27,49.4,3.7
2024-01-14 17:31:32,49.4,3.7
2024-01-14 17:31:37,49.4,3.7
2024-01-14 17:31:42,49.4,3.7
2024-01-14 17:31:47,49.4,3.7
2024-01-14 17:31:52,50.2,3.6
2024-01-14 17:31:57,49.6,3.7
2024-01-14 17:32:02,49.4,3.7
2024-01-14 17:32:07,49.4,3.7
2024-01-14 17:32:12,49.4,3.7
2024-01-14 17:32:17,49.5,3.7
2024-01-14 17:32:22,49.4,3.7
2024-01-14 17:32:27,49.4,3.7
2024-01-14 17:32:32,49.3,3.6
2024-01-14 17:32:37,49.4,3.6
2024-01-14 17:32:42,49.5,3.6
2024-01-14 17:32:47,49.4,3.7
2024-01-14 17:32:52,49.5,3.7
2024-01-14 17:32:57,49.4,3.7
2024-01-14 17:33:02,49.5,3.6
2024-01-14 17:33:07,49.5,3.6
2024-01-14 17:33:12,49.5,3.6
2024-01-14 17:33:17,49.5,3.6
2024-01-14 17:33:22,49.5,3.6
2024-01-14 17:33:27,49.5,3.6
2024-01-14 17:33:32,49.5,3.6
2024-01-14 17:33:37,49.6,3.6
2024-01-14 17:33:42,49.5,3.6
2024-01-14 17:33:47,49.6,3.6
2024-01-14 17:33:52,49.7,3.6
2024-01-14 17:33:57,49.4,3.6
2024-01-14 17:34:02,49.3,3.6
2024-01-14 17:34:07,49.4,3.6
2024-01-14 17:34:12,49.3,3.6
2024-01-14 17:34:17,49.3,3.6
2024-01-14 17:34:22,49.4,3.6
2024-01-14 17:34:27,49.4,3.6
2024-01-14 17:34:32,49.4,3.6
2024-01-14 17:34:37,49.5,3.6
2024-01-14 17:34:42,49.3,3.6
2024-01-14 17:34:47,50.3,3.6
2024-01-14 17:34:52,49.4,3.6
2024-01-14 17:34:57,49.3,3.6
2024-01-14 17:35:02,49.4,3.6
2024-01-14 17:35:07,49.3,3.6
2024-01-14 17:35:12,49.4,3.6
2024-01-14 17:35:17,49.3,3.7
2024-01-14 17:35:22,49.4,3.7
2024-01-14 17:35:27,49.4,3.7
2024-01-14 17:35:32,49.5,3.7
2024-01-14 17:35:37,49.5,3.7
2024-01-14 17:35:42,49.4,3.7
2024-01-14 17:35:47,49.5,3.7
2024-01-14 17:35:52,49.5,3.7
2024-01-14 17:35:57,49.4,3.7
2024-01-14 17:36:02,49.5,3.7
2024-01-14 17:36:07,49.5,3.7
