time,cpu_usage,memory_usage
2024-01-12 08:20:00,0.0,18.6
2024-01-12 08:20:05,33.0,45.6
2024-01-12 08:20:10,50.8,45.6
2024-01-12 08:20:15,51.3,45.7
2024-01-12 08:20:20,50.9,45.6
2024-01-12 08:20:25,50.6,45.6
2024-01-12 08:20:30,51.2,45.6
2024-01-12 08:20:35,50.9,45.6
2024-01-12 08:20:40,50.7,45.6
2024-01-12 08:20:45,50.6,45.6
2024-01-12 08:20:50,50.8,45.6
2024-01-12 08:20:55,50.9,45.6
2024-01-12 08:21:00,51.0,45.6
2024-01-12 08:21:05,50.6,45.6
2024-01-12 08:21:10,50.6,45.6
2024-01-12 08:21:15,50.7,45.7
2024-01-12 08:21:20,50.7,45.6
2024-01-12 08:21:25,50.7,45.7
2024-01-12 08:21:30,51.1,45.7
2024-01-12 08:21:35,50.8,45.7
2024-01-12 08:21:40,50.5,45.7
2024-01-12 08:21:45,50.7,45.7
2024-01-12 08:21:50,50.8,45.8
2024-01-12 08:21:55,51.4,45.7
2024-01-12 08:22:00,50.7,45.6
2024-01-12 08:22:05,50.7,45.7
2024-01-12 08:22:10,51.1,45.7
2024-01-12 08:22:15,51.1,45.7
2024-01-12 08:22:20,51.3,45.7
2024-01-12 08:22:25,51.2,45.7
2024-01-12 08:22:30,50.7,45.7
2024-01-12 08:22:35,50.6,45.7
2024-01-12 08:22:40,51.0,45.7
2024-01-12 08:22:45,50.7,45.7
2024-01-12 08:22:50,50.6,45.7
2024-01-12 08:22:55,51.1,45.7
2024-01-12 08:23:00,50.8,45.7
2024-01-12 08:23:05,50.5,45.7
2024-01-12 08:23:10,50.9,45.6
2024-01-12 08:23:15,50.9,45.7
2024-01-12 08:23:20,50.6,45.7
2024-01-12 08:23:25,50.6,45.7
2024-01-12 08:23:30,50.7,45.7
2024-01-12 08:23:35,50.8,45.7
2024-01-12 08:23:40,51.1,45.7
2024-01-12 08:23:45,50.8,45.7
2024-01-12 08:23:50,50.9,45.7
2024-01-12 08:23:55,50.8,45.7
2024-01-12 08:24:00,51.0,45.7
2024-01-12 08:24:05,51.2,45.7
2024-01-12 08:24:10,50.9,45.7
2024-01-12 08:24:15,51.1,45.6
2024-01-12 08:24:20,50.9,45.7
2024-01-12 08:24:25,50.7,45.7
2024-01-12 08:24:30,50.9,45.7
2024-01-12 08:24:35,50.8,45.7
2024-01-12 08:24:40,50.9,45.7
